Order_ID,Activity,Timestamp,Customer_Name,Order_Source,Region,Order_Value,Items_Count,Discount
CASE_1,Złożenie zamówienia,2024-01-28 14:30:00,Klient_187,Telefon,Wschód,99.79,4,6.45
CASE_1,Płatność,2024-01-28 20:21:21.325021200,Klient_187,Telefon,Wschód,99.79,4,6.45
CASE_1,Wysyłka,2024-01-29 02:16:15.285644400,Klient_187,Telefon,Wschód,99.79,4,6.45
CASE_1,Dostawa,2024-01-29 20:32:43.667142,Klient_187,Telefon,Wschód,99.79,4,6.45
CASE_1,Ocena,2024-01-30 06:35:57.730441200,Klient_187,Telefon,Wschód,99.79,4,6.45
CASE_10,Złożenie zamówienia,2024-01-05 16:31:00,Klient_124,Online,Północ,66.11,1,1.89
CASE_10,Płatność,2024-01-05 19:13:51.230145600,Klient_124,Online,Północ,66.11,1,1.89
CASE_10,Wysyłka,2024-01-06 03:21:38.648961600,Klient_124,Online,Północ,66.11,1,1.89
CASE_10,Dostawa,2024-01-07 06:26:28.811560800,Klient_124,Online,Północ,66.11,1,1.89
CASE_10,Ocena,2024-01-07 09:26:34.196206800,Klient_124,Online,Północ,66.11,1,1.89
CASE_100,Złożenie zamówienia,2024-04-15 11:02:00,Klient_17,Online,Zachód,107.97,3,4.29
CASE_100,Płatność,2024-04-15 17:32:19.515967200,Klient_17,Online,Zachód,107.97,3,4.29
CASE_100,Wysyłka,2024-04-16 09:50:29.497518,Klient_17,Online,Zachód,107.97,3,4.29
CASE_100,Dostawa,2024-04-16 17:20:24.599998800,Klient_17,Online,Zachód,107.97,3,4.29
CASE_100,Ocena,2024-04-17 07:42:34.210819200,Klient_17,Online,Zachód,107.97,3,4.29
CASE_101,Złożenie zamówienia,2024-03-03 21:17:00,Klient_154,Online,Północ,32.56,3,7.22
CASE_101,Płatność,2024-03-04 21:47:31.463791199,Klient_154,Online,Północ,32.56,3,7.22
CASE_101,Wysyłka,2024-03-08 01:22:53.252293200,Klient_154,Online,Północ,32.56,3,7.22
CASE_101,Dostawa,2024-03-10 07:46:40.525612800,Klient_154,Online,Północ,32.56,3,7.22
CASE_101,Ocena,2024-03-12 01:09:24.597908400,Klient_154,Online,Północ,32.56,3,7.22
CASE_102,Złożenie zamówienia,2024-04-19 16:21:00,Klient_56,Online,Wschód,72.04,2,8.11
CASE_102,Weryfikacja,2024-04-19 23:52:01.508728800,Klient_56,Online,Wschód,72.04,2,8.11
CASE_102,Płatność,2024-04-21 03:40:52.972780800,Klient_56,Online,Wschód,72.04,2,8.11
CASE_102,Wysyłka,2024-04-22 16:45:30.408476400,Klient_56,Online,Wschód,72.04,2,8.11
CASE_102,Dostawa,2024-04-25 04:35:19.838212800,Klient_56,Online,Wschód,72.04,2,8.11
CASE_102,Ocena,2024-04-27 13:02:12.119186400,Klient_56,Online,Wschód,72.04,2,8.11
CASE_103,Złożenie zamówienia,2024-01-02 07:58:00,Klient_63,Sklep,Wschód,82.6,3,13.25
CASE_103,Płatność,2024-01-02 09:08:18.116094,Klient_63,Sklep,Wschód,82.6,3,13.25
CASE_103,Wysyłka,2024-01-02 18:22:28.369843200,Klient_63,Sklep,Wschód,82.6,3,13.25
CASE_103,Dostawa,2024-01-03 07:35:29.246815200,Klient_63,Sklep,Wschód,82.6,3,13.25
CASE_103,Ocena,2024-01-03 16:20:35.334984,Klient_63,Sklep,Wschód,82.6,3,13.25
CASE_104,Złożenie zamówienia,2024-04-07 14:21:00,Klient_91,Sklep,Wschód,113.92,2,0.0
CASE_104,Płatność,2024-04-09 00:28:34.894614,Klient_91,Sklep,Wschód,113.92,2,0.0
CASE_104,Wysyłka,2024-04-10 18:47:19.638819600,Klient_91,Sklep,Wschód,113.92,2,0.0
CASE_104,Dostawa,2024-04-12 15:13:35.978073600,Klient_91,Sklep,Wschód,113.92,2,0.0
CASE_104,Ocena,2024-04-15 00:17:55.767206400,Klient_91,Sklep,Wschód,113.92,2,0.0
CASE_105,Złożenie zamówienia,2024-02-19 06:43:00,Klient_190,Sklep,Południe,28.7,4,6.68
CASE_105,Płatność,2024-02-19 06:45:29.575658400,Klient_190,Sklep,Południe,28.7,4,6.68
CASE_105,Wysyłka,2024-02-19 06:55:16.652314800,Klient_190,Sklep,Południe,28.7,4,6.68
CASE_105,Dostawa,2024-02-19 07:16:40.610717999,Klient_190,Sklep,Południe,28.7,4,6.68
CASE_105,Ocena,2024-02-19 07:26:55.238815200,Klient_190,Sklep,Południe,28.7,4,6.68
CASE_106,Złożenie zamówienia,2024-02-16 09:45:00,Klient_68,Online,Zachód,21.05,2,20.0
CASE_106,Płatność,2024-02-16 14:22:14.669428800,Klient_68,Online,Zachód,21.05,2,20.0
CASE_106,Wysyłka,2024-02-17 06:26:18.724048800,Klient_68,Online,Zachód,21.05,2,20.0
CASE_106,Dostawa,2024-02-17 17:29:41.906292,Klient_68,Online,Zachód,21.05,2,20.0
CASE_106,Ocena,2024-02-18 00:57:04.268995200,Klient_68,Online,Zachód,21.05,2,20.0
CASE_107,Złożenie zamówienia,2024-03-26 19:46:00,Klient_149,Sklep,Zachód,37.16,1,24.84
CASE_107,Weryfikacja,2024-03-26 21:17:01.125595200,Klient_149,Sklep,Zachód,37.16,1,24.84
CASE_107,Płatność,2024-03-27 01:59:32.769440400,Klient_149,Sklep,Zachód,37.16,1,24.84
CASE_107,Wysyłka,2024-03-27 12:45:51.074520,Klient_149,Sklep,Zachód,37.16,1,24.84
CASE_107,Dostawa,2024-03-27 22:38:03.148492800,Klient_149,Sklep,Zachód,37.16,1,24.84
CASE_107,Ocena,2024-03-28 04:59:42.924972,Klient_149,Sklep,Zachód,37.16,1,24.84
CASE_108,Złożenie zamówienia,2024-02-08 07:25:00,Klient_95,Sklep,Północ,174.89,2,9.45
CASE_108,Płatność,2024-02-08 10:46:24.807488400,Klient_95,Sklep,Północ,174.89,2,9.45
CASE_108,Wysyłka,2024-02-08 14:36:59.599618800,Klient_95,Sklep,Północ,174.89,2,9.45
CASE_108,Dostawa,2024-02-09 08:51:15.542541600,Klient_95,Sklep,Północ,174.89,2,9.45
CASE_108,Ocena,2024-02-09 12:40:07.787908799,Klient_95,Sklep,Północ,174.89,2,9.45
CASE_109,Złożenie zamówienia,2024-04-18 16:00:00,Klient_59,Sklep,Południe,78.84,4,0.0
CASE_109,Płatność,2024-04-18 17:13:49.028376,Klient_59,Sklep,Południe,78.84,4,0.0
CASE_109,Wysyłka,2024-04-18 22:48:13.716021600,Klient_59,Sklep,Południe,78.84,4,0.0
CASE_109,Dostawa,2024-04-19 10:38:19.647996,Klient_59,Sklep,Południe,78.84,4,0.0
CASE_109,Zwrot,2024-04-19 11:05:00.063614400,Klient_59,Sklep,Południe,78.84,4,0.0
CASE_109,Ocena,2024-04-19 12:40:07.012012800,Klient_59,Sklep,Południe,78.84,4,0.0
CASE_11,Złożenie zamówienia,2024-02-29 10:26:00,Klient_53,Online,Południe,84.38,3,0.0
CASE_11,Płatność,2024-02-29 14:18:32.969028,Klient_53,Online,Południe,84.38,3,0.0
CASE_11,Wysyłka,2024-02-29 18:20:39.348860400,Klient_53,Online,Południe,84.38,3,0.0
CASE_11,Dostawa,2024-03-01 09:35:56.072221200,Klient_53,Online,Południe,84.38,3,0.0
CASE_11,Ocena,2024-03-01 12:33:15.300768,Klient_53,Online,Południe,84.38,3,0.0
CASE_110,Złożenie zamówienia,2024-01-22 08:35:00,Klient_85,Online,Zachód,44.68,5,6.35
CASE_110,Płatność,2024-01-23 20:19:18.308821200,Klient_85,Online,Zachód,44.68,5,6.35
CASE_110,Wysyłka,2024-01-26 16:20:01.643666400,Klient_85,Online,Zachód,44.68,5,6.35
CASE_110,Dostawa,2024-01-28 12:56:45.724942800,Klient_85,Online,Zachód,44.68,5,6.35
CASE_110,Ocena,2024-01-30 11:46:53.684768400,Klient_85,Online,Zachód,44.68,5,6.35
CASE_111,Złożenie zamówienia,2024-04-29 19:16:00,Klient_59,Telefon,Północ,45.61,2,0.98
CASE_111,Płatność,2024-04-30 03:23:34.715967600,Klient_59,Telefon,Północ,45.61,2,0.98
CASE_111,Wysyłka,2024-05-01 16:25:35.612056800,Klient_59,Telefon,Północ,45.61,2,0.98
CASE_111,Dostawa,2024-05-02 11:53:10.881807600,Klient_59,Telefon,Północ,45.61,2,0.98
CASE_111,Ocena,2024-05-03 09:37:34.262409600,Klient_59,Telefon,Północ,45.61,2,0.98
CASE_112,Złożenie zamówienia,2024-02-19 11:46:00,Klient_103,Online,Południe,112.99,5,12.27
CASE_112,Płatność,2024-02-21 00:53:13.143932400,Klient_103,Online,Południe,112.99,5,12.27
CASE_112,Wysyłka,2024-02-23 15:49:20.120868,Klient_103,Online,Południe,112.99,5,12.27
CASE_112,Dostawa,2024-02-25 23:09:23.365428,Klient_103,Online,Południe,112.99,5,12.27
CASE_112,Ocena,2024-02-27 11:50:13.251619200,Klient_103,Online,Południe,112.99,5,12.27
CASE_113,Złożenie zamówienia,2024-02-21 14:36:00,Klient_113,Online,Północ,25.94,2,2.53
CASE_113,Płatność,2024-02-21 14:51:23.826625200,Klient_113,Online,Północ,25.94,2,2.53
CASE_113,Wysyłka,2024-02-21 18:33:11.829668400,Klient_113,Online,Północ,25.94,2,2.53
CASE_113,Dostawa,2024-02-21 22:32:45.345217200,Klient_113,Online,Północ,25.94,2,2.53
CASE_113,Ocena,2024-02-21 23:01:30.306727200,Klient_113,Online,Północ,25.94,2,2.53
CASE_114,Złożenie zamówienia,2024-03-06 10:14:00,Klient_112,Online,Wschód,56.83,1,2.12
CASE_114,Płatność,2024-03-06 11:12:51.341646,Klient_112,Online,Wschód,56.83,1,2.12
CASE_114,Wysyłka,2024-03-06 21:45:49.182038399,Klient_112,Online,Wschód,56.83,1,2.12
CASE_114,Dostawa,2024-03-07 05:47:22.523562,Klient_112,Online,Wschód,56.83,1,2.12
CASE_114,Ocena,2024-03-07 09:19:27.507102,Klient_112,Online,Wschód,56.83,1,2.12
CASE_115,Złożenie zamówienia,2024-02-17 12:24:00,Klient_122,Sklep,Południe,97.97,3,0.0
CASE_115,Płatność,2024-02-17 14:06:29.778094800,Klient_122,Sklep,Południe,97.97,3,0.0
